"model_device","brand","model_name","release_year","release_month","release_price","screensize","detail"
"pulp fab 4g",NA,NA,NA,NA,NA,NA,NA
"a33f","oppo","a33",2015,"November",NA,"5",NA
"vivo y31",NA,NA,NA,NA,NA,NA,NA
"sm-g850","samsung","galaxy alpha (s801)",2014,"September","450","4.7","versions:
g850a for at&t
g850w for canada
g8508s for east & southeast asia"
"gt-s7270","samsung","galaxy ace 3",2013,"July","130","4","also known as samsung galaxy ace 3 3g s7270; samsung galaxy ace 3 lte s7275; samsung galaxy ace 3 s7272 duos with dual-sim card slots"
"i-mobile i-style 220",NA,NA,NA,NA,NA,NA,NA
"lumia 630 like","nokia","6300",2007,"January","70","2",NA
"smart 4g 5.5 enterprise",NA,NA,NA,NA,NA,NA,NA
"r829","oppo","r1 r829t",2013,"December","300","5",NA
"vivo y27",NA,NA,NA,NA,NA,NA,NA
"true smart 3.5",NA,NA,NA,NA,NA,NA,NA
"1206",NA,NA,NA,NA,NA,NA,NA
"vivo x5pro",NA,NA,NA,NA,NA,NA,NA
"i-mobile iq 6.8 dtv",NA,NA,NA,NA,NA,NA,NA
"sm-g361","samsung","galaxy core prime",2014,"November","150","4.5","available as samsung galaxy core prime value edition g361 with android v5.1
also known as samsung galaxy win 2 duos tv g360bt for brazil; samsung galaxy core prime duos with dual-sim card slots"
"i-mobile i-style 810",NA,NA,NA,NA,NA,NA,NA
"t1 7.0","huawei","mediapad t1 7.0",2015,"March","100","7",NA
"sm-g318","samsung","galaxy v plus",2015,"July","70","4","also known as samsung galaxy v+ g318"
"i-mobile iq 5.7",NA,NA,NA,NA,NA,NA,NA
"sm-g750","samsung","galaxy mega 2",2014,"September","340","6","also known as samsung galaxy mega 2 lte
samsung galaxy mega 2 g750f
samsung galaxy mega 2 g7508
samsung galaxy mega 2 duos g7508q for china with dual-sim card slots"
"z520","acer","liquid z520",2015,"April","130","5",NA
"sm-j120","samsung","galaxy j1 (2016)",2016,"January","130","4.5","versions: j120f (global); galaxy express 3 j120a (at&t); j120h, j120m, j120m, j120t
also known as samsung galaxy j1 (2016) duos with dual-sim card slots"
"k01n","asus","fonepad 7 fe171cg",2015,"January","160","7","tablet with support for gsm voice communication, sms, and mms"
"ale-l02","huawei","honor 6",2014,"August","290","5","versions:
- h60-l01 tdd lte (single sim)
- h60-l02 fdd&tdd lte, hsdpa
- h60-l04 fdd&tdd lte, hsdpa (single sim)
- h60-l12 fdd lte, hsdpa, nfc
- h60-l12 fdd lte, nfc"
"vivo xshot",NA,NA,NA,NA,NA,NA,NA
"i-mobile i-style 218",NA,NA,NA,NA,NA,NA,NA
"sm-t285","samsung","galaxy tab a 7.0 (2016)",2016,"March","150","7","versions: t280 (wi-fi only); t285 (4g/wi-fi)"
"sm-t211","samsung","d900i",2007,NA,"90","2.1",NA
"sm-t111","samsung","galaxy tab 3 lite 7.0 3g",2014,"February","190","7","tablet with support for gsm voice communication, sms, and mms
also known as samsung t111"
"r827","oppo","find 5 mini",2014,"January","240","4.7","also known as oppo find 5 mini r827"
"sm-g930","samsung","galaxy s7",2016,"March","580","5.1","versions: g930 (usa); g930f (global); g930fd (southeast asia)
also known as samsung galaxy s7 duos with dual-sim card slots"
"lenovo a7010a48","lenovo","vibe k4 note",2016,"January","190","5.5","also known as: lenovo k4 note a7010a48, a7010, lenovo vibe x3 lite"
"asus z007","asus","zenfone c zc451cg",2015,"February","90","4.5",NA
"zte blade d6 lite 3g",NA,NA,NA,NA,NA,NA,NA
"asus t00i","asus","fonepad",2013,"April","260","7","also available with a 1.6 ghz intel atom z2460 processor and 32 gb of built-in storage"
"zte v831w",NA,NA,NA,NA,NA,NA,NA
"i-mobile i-style 219",NA,NA,NA,NA,NA,NA,NA
"3006","oppo","a53",2015,"December",NA,"5.5",NA
"ridge",NA,NA,NA,NA,NA,NA,NA
